id_2	invicta_1985	invicta_1995	invicta_2005	invicta_2015	invicta_2023	nf_veg_1985	area_veg_1985	nf_veg_1995	area_veg_1995	nf_veg_2005	area_veg_2005	nf_veg_2015	area_veg_2015	nf_veg_2022	area_veg_2022	nf_urb_1985	area_urb_1985	nf_urb_1995	area_urb_1995	nf_urb_2005	area_urb_2005	nf_urb_2015	area_urb_2015	nf_urb_2022	area_urb_2022
705	0	0	0	0	0	101	2423410	79	1679691	86	1641020	124	2193077	166	3029969	1	8401	2	43683	2	65526	4	124336	7	184837
709	0	0	0	0	0	90	2416764	82	2679712	88	3295677	83	3316339	87	3584228	1	10749	0	0	2	6615	1	10749	3	15709
713	0	0	0	0	0	218	38489369	288	32541427	298	21704060	336	20928420	340	19876702	2	74701	4	135594	2	296351	5	372674	13	453064
714	0	0	0	0	0	305	34172409	287	33976143	340	30105505	377	29270741	338	26767862	2	5658	1	8891	1	12933	0	0	2	8892
716	0	0	0	0	0	307	28716431	317	26016685	319	24217263	401	24456453	395	23755440	0	0	0	0	0	0	0	0	1	5601
718	0	0	0	2	3	232	53090103	466	37279300	434	36943301	445	36252344	422	35304773	6	19005	2	7919	1	7919	2	11876	3	20582
720	0	0	0	0	0	109	28796718	129	28330114	138	27855035	157	25655584	160	25275127	0	0	0	0	0	0	0	0	0	0
721	0	0	0	0	0	282	18267503	366	18401304	377	18411371	444	19398019	467	20500661	130	2015648	27	301184	19	167317	5	64593	13	109734
758	0	0	0	0	0	60	15522287	44	15785656	49	16448298	58	16870192	68	17110073	0	0	0	0	0	0	0	0	0	0
759	0	0	0	0	0	87	3975106	90	3048547	107	3937433	144	5151489	216	7415794	13	201330	3	208849	2	209685	14	291562	40	482042
762	0	0	0	0	0	89	2142925	72	1259918	81	1162594	168	1905157	205	2379537	8	81684	5	84980	21	224410	11	255767	15	320103
763	0	0	0	0	0	273	12245440	306	9667839	269	6773249	311	7290823	339	7722962	2	4107	0	0	0	0	0	0	0	0
764	0	0	0	0	1	298	33184272	295	28815490	299	28863867	288	29841984	315	29874734	0	0	1	5725	2	14721	4	22083	6	44164
765	0	0	0	0	3	124	10694192	123	10605483	122	10768269	138	10956299	154	11086560	8	54542	5	44774	2	13028	12	68376	11	83838
766	0	0	0	1	1	251	19215560	253	17227741	181	16340681	178	17139481	189	17342862	0	0	0	0	7	27552	8	80218	11	117487
770	0	0	0	1	1	258	22066898	269	21591439	269	20139524	277	18964724	322	18118647	26	376224	21	277007	14	195240	19	223807	27	257164
772	0	0	0	3	4	143	46160415	128	45645430	125	45498513	133	44511642	146	43939385	0	0	0	0	0	0	0	0	0	0
773	0	0	0	2	2	90	71083170	156	66776275	144	65905796	101	65732565	96	65535016	0	0	0	0	0	0	0	0	0	0
774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	14121356	94	5168691	109	3505307	105	1773949	109	1647373
809	0	0	0	0	0	18	301691	24	337835	27	360526	26	396665	27	409269	0	0	0	0	0	0	0	0	0	0
810	0	0	0	0	0	140	3764360	171	3529932	176	3202660	221	4449860	235	4907712	16	46879	3	30141	14	269520	16	640381	22	724115
811	0	0	0	0	0	68	1776958	42	2015418	55	2366485	79	3163663	106	3203678	0	0	0	0	0	0	0	0	5	54195
812	0	0	0	0	0	269	9740408	139	8690811	92	8329674	127	9135887	356	12484514	11	118744	4	575455	6	741529	8	809620	18	996450
814	0	0	0	0	0	395	20663245	493	20517129	450	14773666	372	13526223	352	13935392	11	898341	5	1123138	8	1611414	12	2255320	12	2789730
