id_hex	decada	ocorrência
608	2015	1
509	2015	0
1789	2015	2
1021	2015	40
1023	2015	0
1795	2015	2
1691	2015	2
1280	2015	1
242	2015	1
1743	2015	8
1435	2015	3
765	2015	3
818	2015	1
344	2015	1
1383	2015	0
455	2015	0
2245	2015	1
812	2015	1
1635	2015	1
1333	2015	11
1228	2015	1
1176	2015	2
814	2015	0
507	2015	2
1488	2015	1
406	2015	2
1125	2015	2
350	2015	5
510	2015	0
924	2015	6
1844	2015	2
1745	2015	5
562	2015	3
1231	2015	43
508	2015	1
758	2015	1
1693	2015	6
766	2015	17
1692	2015	0
560	2015	0
457	2015	0
1685	2015	5
770	2015	29
1431	2015	1
1283	2015	27
1584	2015	9
1791	2015	3
659	2015	10
821	2015	4
713	2015	1
553	2015	5
1433	2015	36
721	2015	1
1738	2015	1
1792	2015	1
456	2015	8
974	2015	6
661	2015	0
1486	2015	30
1485	2015	0
1794	2015	2
716	2015	2
1845	2015	1
1282	2015	0
1786	2015	13
1634	2015	4
720	2015	1
1535	2015	0
1230	2015	5
